user_id,novel_id,rating
506,308,10
73,1719,4
523,5143,3
561,15075,7
192,20499,7
538,1931,4
548,9960,9
66,27379,10
453,27644,5
9,13714,5
29,7168,8
544,22107,4
437,22047,9
668,15451,9
513,5737,6
10,138,8
502,899,7
642,13057,8
464,24045,7
60,3273,5
382,20928,2
645,1948,4
530,14721,7
52,19552,8
555,25442,8
271,19221,7
371,13587,3
65,3912,5
210,19717,10
229,7735,9
131,26200,9
777,23961,8
345,22035,3
170,27111,7
195,5848,8
195,24625,10
379,8293,9
337,9253,10
6,19004,4
103,14763,9
573,25186,10
361,4180,4
335,8521,8
648,7927,9
115,15083,2
205,14994,5
497,23379,7
598,5390,10
367,458,7
205,12505,7
46,25499,4
539,7632,10
28,5563,10
314,6026,7
391,15710,7
295,14961,7
116,72,3
262,10600,9
297,19884,8
155,12575,4
310,4878,9
427,431,4
396,4407,6
749,14763,9
418,17024,9
375,6775,5
340,7924,7
449,16285,6
1,15516,3
776,12499,6
665,11643,8
245,4350,5
67,10075,8
605,21947,9
336,14215,5
557,9603,6
71,26986,9
619,11428,7
501,11785,10
170,23661,9
100,5497,2
418,852,7
669,23719,7
557,529,6
721,1925,9
28,19128,9
601,16200,6
512,8327,9
78,16970,8
372,21726,10
698,577,8
372,20355,10
288,23143,6
40,27310,5
374,18596,8
95,7007,8
309,15490,9
610,17865,6
542,9704,5
34,25886,10
238,18725,9
728,16333,7
575,712,10
353,2785,6
199,25796,1
708,7950,8
658,27100,10
519,5530,10
245,18155,8
687,9198,5
140,2625,1
123,17835,7
734,15852,10
738,8518,6
554,16597,8
51,25132,6
10,13580,6
406,17672,7
527,13262,10
380,23720,10
524,14802,8
53,13913,6
218,23497,2
155,6939,9
335,12655,9
45,14415,4
309,4944,7
510,12879,6
602,12341,3
96,5948,10
725,409,10
30,11872,7
417,22305,8
677,20667,9
415,22333,6
600,9900,9
185,12069,10
93,4464,4
343,15831,9
449,24730,8
117,6153,3
42,21438,6
185,24126,8
410,11517,6
20,20248,8
508,6545,10
259,12617,5
74,6166,8
148,17064,10
476,11231,8
405,11074,9
633,21708,10
731,911,1
71,27466,7
119,10698,7
16,10003,4
628,19210,7
548,5902,4
450,4748,2
407,5712,10
743,8613,10
49,3029,8
510,11349,10
593,22094,7
629,19798,6
635,15792,8
383,7472,7
501,13652,8
45,1931,9
191,16261,8
422,9319,5
658,9952,5
243,19716,10
24,8460,4
333,19895,10
418,12847,4
391,18944,5
361,18861,5
743,19804,10
438,17118,5
715,9244,8
289,3202,10
282,725,2
346,24263,6
307,18110,9
197,14091,7
423,24551,10
362,12826,10
21,17375,1
252,26621,6
131,8558,10
587,13713,10
376,14742,9
39,16763,5
36,12764,6
165,19601,8
31,5131,9
20,16455,6
381,2510,7
184,16512,8
488,5412,5
111,439,8
662,1400,9
61,18584,7
453,23666,9
384,26829,4
134,12302,1
767,1301,10
94,8145,9
98,11500,7
389,25288,7
736,16189,10
587,911,6
746,3319,10
138,23443,10
366,21854,6
55,19740,7
258,4780,8
14,6190,5
735,19574,6
302,4409,8
614,7265,9
689,5070,9
496,4572,9
182,16533,1
181,16602,10
204,27072,8
382,4533,8
300,22646,10
212,13425,4
614,25659,6
670,21012,4
768,7575,10
711,12330,5
493,16710,8
685,22422,7
94,9990,2
258,2345,8
176,9319,8
696,10339,6
568,17301,9
572,4475,5
666,7912,5
743,18413,7
666,1252,7
553,14727,8
611,460,7
227,9393,5
355,3377,2
88,11325,4
706,23666,8
288,11269,7
477,10788,7
191,13893,9
227,27351,6
501,22233,9
762,8195,7
205,3677,10
678,9819,7
270,15950,4
637,4236,6
162,23764,6
733,2154,10
616,13953,7
718,14983,8
459,16811,8
713,17532,3
454,18156,5
13,4821,7
593,9524,10
354,11044,9
500,7390,8
574,5560,1
251,17614,4
644,3989,6
138,24347,8
321,17155,8
44,16384,7
715,18270,2
489,25085,4
40,26002,8
241,20206,4
578,11891,10
297,3188,8
587,6976,5
131,4228,10
159,13676,7
648,21289,4
137,14382,8
1,5559,10
203,16526,3
680,5320,4
396,18361,9
707,26249,7
129,9077,7
344,2432,8
92,20788,2
746,14609,7
636,4818,9
638,25641,4
