novel_id,title,rating count,rating mean
1,Madam’s Identities Shocks the Entire City Again,7,8.142857142857142
10,Supreme God Emperor,4,6.75
100,I Am A Boss Mommy That Wants To Slack,3,8.333333333333334
1000,My Life Can Be Simulated Infinitely,2,8.0
10000,Prehistoric: King Zhou’s divine choice!,3,6.666666666666667
10001,Pocket Hunting Dimension,5,6.0
10002,Master of Science and Technology,6,6.833333333333333
10003,"Man in Konoha, Vector Manipulation",4,7.5
10004,Nautical: Beheading the Straw Hats Coercing Nami as His Wife,4,4.5
10005,Start Minato is my brother,2,7.5
10006,"I, Who was Born as a Stranger, Can Actually Practice Automatically",2,6.5
10007,The Devouring Dragon Slayer of the Fairy Guild,2,6.0
10008,Saint Ancestor of Void Extreme,3,7.0
10009,End of the Sky,6,7.166666666666667
1001,Fairy Tail: I can grow bigger and smaller,2,7.5
10010,National Beast Control: I can see hidden information,2,7.5
10011,Escape the Library,5,6.4
10013,"Just enter the comic: opening giant god soldier, join the chat",3,5.0
10014,Become the king at the top and get the Gildarts template at the beginning,3,7.333333333333333
10015,Bleach-Stir Up,7,8.714285714285714
10016,Reincarnated As A Plant Life,8,7.0
10017,People in Gotham: Become a military industry leader at the beginning,3,8.666666666666666
10018,One Punch Man: God Level Card System,2,6.0
10019,The blood of the Hokage follows the snare,4,6.75
1002,Crazy? The Female Emperor's Disciple Wants To Live With Me?,6,8.0
10020,Chat group: From the fantasy world to the world,3,6.0
10021,"In the end of the world, sign in at the beginning and have unlimited space to stock up on trillions",6,6.0
10022,The Forbidden World,5,7.0
10023,Reforged Wizard,3,4.0
10024,"Yu-Gi-Oh!: Underworld Boss, Cancerous Creator God",1,9.0
10025,"People in the black basket, sign in Teiko Academy",5,7.4
10026,"Genshin Impact: The Second Creation of the Society’s Death, the Water God Likes to Bring a Little Um",3,6.333333333333333
10027,Naruto’s Strongest Master,2,3.5
10028,Food: Replace Ryo Kurokiba at the start,6,8.5
10029,The city doubles a hundred times,2,3.0
1003,The Blind Swordsman of the Uchiha Family,3,8.0
10030,The Game of Demon Hunter,5,7.6
10031,Douluo’s Nuclear Explosion,4,7.75
10032,Seafaring Rise: Advance the City to Plunder Flutter and Momo,4,6.5
10033,Pirates: Obtain the ability of heaven at the beginning,3,8.333333333333334
10034,Half-elf Ranger,5,8.0
10035,The Secret of the Seal,4,6.75
10036,Pirate: Don’t force me to swing the hammer,5,4.4
10037,"A natural monster, starting with a dark fruit",3,4.666666666666667
10038,I Became Popular in the Underworld After Live Broadcasting Taoism,3,7.333333333333333
10039,Online game: Begin to plunder god-level talent!,7,6.285714285714286
1004,My Wife is the Pirate Empress,1,8.0
10040,"I, Yamoshi, the legendary Super Saiyan",2,6.0
10041,"Entertainment: play the secret room with Reba, please open the locksmith",3,8.0
10042,Seize Genes,1,5.0
10043,NBA: The start is an All-Star,4,6.75
10044,The Queen of Everything,8,7.0
10045,Godly System: Invincible Starts With a Courtyard,7,5.857142857142857
10046,Xianxia: Big Brother Tianyongcheng,5,6.8
10047,Summon: I have the heroes of the ages,3,5.666666666666667
10048,Who Isn’t A Cultivator?,3,8.0
10049,Pokémon: A Perfect Start,2,7.5
1005,VRMMO: Nine Rounds of Reincarnation,4,5.75
10051,"Villain: Back before the heroine turned black, please be kind",3,7.0
10052,Eighteen Years of Legendary Wave,4,7.0
10053,Instant Kill,1,9.0
10054,"The Age of Lords: I, the Only Top-up Player in the Entire Server",4,7.0
10055,Global Age of Empires: I Can Summon Historical Famous People,2,4.5
10056,"Fantasy: plunder cultivation, increase critical strike by ten thousand times",4,5.25
10057,Elf: There is no mythical beast in my start,1,10.0
10058,Sword Pawn Crossing River,1,4.0
10059,Mrs. Fu is getting divorced again,5,8.2
1006,One Piece Invincible,4,5.25
10060,Carefree Prince In Tang Dynasty,1,5.0
10061,"People are in Konoha, start with a dense fruit",4,7.75
10062,"Meiman: Heaven-Defying Comprehension, Creating A Super Practice Method",4,4.75
10063,The Supreme Spy,6,9.166666666666666
10064,The rise of greenery,2,6.0
10065,I Had a Home In 1982,8,7.875
10066,"Goblin: Healing Mirajane, Black Dragon Sky Template",7,6.857142857142857
10067,"After retiring from the Zero Division, Aizen came to study",6,6.0
10068,Zither Emperor,6,9.166666666666666
10069,Marvel: My skills are a bit weird,2,6.0
1007,Fantasy: Me! A Destiny Villain,4,7.5
10070,"Playing Fu Xuan at the beginning, I made the whole network fall in love",1,10.0
10071,Da Qin: Give Ancestral Dragon the elixir of death at the beginning!,3,7.0
10072,My Bei Hai Zoo,3,7.666666666666667
10073,"I Treat You As A Brother, You Lied To Me To Rob A Bank?",6,9.0
10074,"Dad: After the divorce, the aloof ex-wife regretted it",3,8.333333333333334
10075,The Best Entertainment Era,5,6.8
10076,"God-level talent: Invincible, actually it’s really not difficult",7,7.571428571428571
10077,Reborn In The ’80s to Raise Cubs,4,6.5
10078,The King of the City,4,7.5
10079,"Entertainment: Reba godfather, I was exposed by Mushroom House",5,8.6
1008,Invincible God of War Upgrade System,3,8.333333333333334
10080,"Meiman: omniscient and omnipotent, starting from the old wolf uncle",2,9.5
10081,"Ranking of Ninja World, the Liyue I created is exposed",5,7.6
10082,StarCraft: From The Weakest Race To The Interstellar,4,7.0
10083,Zongman: The beginning became the devil,2,6.0
10084,"Everyone: Build a god-level guild, the country is confused!",4,6.75
